"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(mo_smile;i_gaze_at;inf_smile)","(mo_smile;i_gaze_at;inf_smile)",0.0,0.0,0.0,13
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.0,0.2857142857142857,0.09523809523809523,21
"(i_gaze_at)","(i_gaze_at)",0.0,0.0,0.0,25
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,0.5370370370370371,0.0,54
"(mo_smile)","(mo_smile)",0.0,0.0,0.0,42
"(infant_voc;inf_smile)","(infant_voc;inf_smile)",0.0,0.7307692307692307,0.0,26
"(mo_smile;infant_voc;inf_smile)","(mo_smile;infant_voc;inf_smile)",0.16666666666666666,0.6666666666666666,0.0,12
"(m_gaze_at;mother-speech;i_gaze_at;infant_voc)","(m_gaze_at;mother-speech;i_gaze_at;infant_voc)",0.0,0.5263157894736842,0.10526315789473684,19
"(m_gaze_at)","(m_gaze_at)",0.0,0.7051282051282052,0.0,78
"(mo_smile;mother-speech;i_gaze_at;infant_voc)","(mo_smile;mother-speech;i_gaze_at;infant_voc)",0.0,1.0,0.0,7
"(m_gaze_at;i_gaze_at;infant_voc)","(m_gaze_at;i_gaze_at;infant_voc)",0.0,0.30434782608695654,0.0,46
"(m_gaze_away)","(m_gaze_away)",0.0,1.0,0.0,88
"(infant_voc;i_gaze_away)","(infant_voc;i_gaze_away)",0.0,1.0,0.8,5
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.0,0.0,35
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.0,0.8387096774193549,0.0,31
"(m_gaze_at;mother-speech)","(m_gaze_at;mother-speech)",0.0,0.15625,0.0,32
"(m_gaze_at;i_gaze_at;infant_voc;inf_smile)","(m_gaze_at;i_gaze_at;infant_voc;inf_smile)",0.125,0.125,0.0,8
"(m_gaze_at;mother-speech;inf_smile)","(m_gaze_at;mother-speech;inf_smile)",0.0,0.7142857142857143,0.0,28
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.0,0.5774647887323944,0.22535211267605634,71
"(mother-speech;i_gaze_at;infant_voc)","(mother-speech;i_gaze_at;infant_voc)",0.0,0.9444444444444444,0.0,18
"(i_gaze_at;infant_voc)","(i_gaze_at;infant_voc)",0.0,0.8,0.0,20
"(m_gaze_at;i_gaze_at_object)","(m_gaze_at;i_gaze_at_object)",0.0,0.8554216867469879,0.6385542168674698,83
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.0,0.0,0.0,35
"(m_gaze_at)","(m_gaze_at)",0.12048192771084337,0.03614457831325301,0.13253012048192772,83
"(mo_smile;mother-speech;inf_smile)","(mo_smile;mother-speech;inf_smile)",0.0,1.0,0.0,11
"(i_gaze_at)","(i_gaze_at)",0.0,0.40425531914893614,0.0,47
"(mo_smile;m_gaze_at;i_gaze_away)","(mo_smile;m_gaze_at;i_gaze_away)",0.0,0.4,0.2,5
"(inf_smile)","(inf_smile)",0.0,1.0,0.0,100
"(m_gaze_away)","(m_gaze_away)",0.0,0.8636363636363636,0.0,22
"(mo_smile;mother-speech;infant_voc)","(mo_smile;mother-speech;infant_voc)",0.0,1.0,0.0,5
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.0,0.02702702702702703,0.0,37
"(mo_smile;i_gaze_at;infant_voc)","(mo_smile;i_gaze_at;infant_voc)",0.0,0.25925925925925924,0.037037037037037035,27
"(infant_voc;inf_smile)","(infant_voc;inf_smile)",0.17391304347826086,0.782608695652174,0.0,23
"(mo_smile;mother-speech)","(mo_smile;mother-speech)",0.0,0.96,0.0,25
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.0,0.0,43
"(mo_smile;i_gaze_away)","(mo_smile;i_gaze_away)",0.046875,1.0,0.296875,64
"(m_gaze_at;infant_voc;inf_smile)","(m_gaze_at;infant_voc;inf_smile)",0.125,0.625,0.0,24
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.0,0.6,0.025,40
"(inf_smile)","(inf_smile)",0.04,1.0,0.0,100
"(mo_smile)","(mo_smile)",0.0,0.10294117647058823,0.0,68
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.07692307692307693,0.0,52
