"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(m_gaze_away;inf_smile;mother-speech;i_gaze_at)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;i_gaze_away;infant_voc)","(inf_smile;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,5
"(inf_smile;mo_smile;m_gaze_at)","(i_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,3
"(inf_smile;infant_voc;m_gaze_at)","(i_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at;i_gaze_at_object;inf_smile;infant_voc)","(mother-speech;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_at;m_gaze_away;inf_smile)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(infant_voc;m_gaze_at_object;i_gaze_at)","(inf_smile;mother-speech;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;infant_voc;mo_smile)","(m_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,5
"(mother-speech;i_gaze_at_object;inf_smile;infant_voc)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;mother-speech;infant_voc)","(inf_smile;m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,1
"(infant_voc;inf_smile)","(m_gaze_at;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,6
"(mother-speech;inf_smile;i_gaze_at_object)","(infant_voc)",0.199,2,1.374,0.10344827586206896,1.0,1.0,29
"(mo_smile;infant_voc;m_gaze_at_object)","(i_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,6
"(inf_smile;mo_smile;mother-speech)","(i_gaze_at;m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,3
"(mother-speech;infant_voc)","(inf_smile;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
