"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(m_gaze_at)","(mother-speech)",0.472,806,886.368,0.0,0.18,0.0,100
"(infant_voc;inf_smile)","(mo_smile;i_gaze_at)",0.277,6,16.279,0.14285714285714285,0.6666666666666666,0.047619047619047616,21
"(mo_smile;inf_smile)","(i_gaze_at)",0.629,23,249.104,0.019230769230769232,0.8846153846153846,0.0,52
"(i_gaze_at;inf_smile)","(mo_smile)",0.578,49,254.054,0.0,0.8979591836734694,0.0,49
"(i_gaze_away;m_gaze_at_object)","(infant_voc)",0.105,31,16.225,0.875,0.0,0.125,8
"(m_gaze_at;infant_voc)","(inf_smile)",0.355,15,35.028,0.023529411764705882,0.7058823529411765,0.03529411764705882,85
"(mo_smile;inf_smile;i_gaze_at_object)","(mother-speech)",0.518,10,8.615,0.0,1.0,0.9666666666666667,30
"(mo_smile;mother-speech;infant_voc)","(inf_smile)",0.354,1,3.704,0.0,1.0,0.06666666666666667,15
"(inf_smile;i_gaze_at_object)","(mother-speech;m_gaze_at_object)",0.226,20,13.143,0.03225806451612903,0.967741935483871,1.0,31
"(mo_smile;infant_voc;inf_smile)","(m_gaze_at;mother-speech)",0.381,10,8.091,0.0,0.1111111111111111,0.0,9
"(m_gaze_at;i_gaze_at;inf_smile)","(infant_voc)",0.17,53,49.202,0.0,0.1111111111111111,0.0,18
"(m_gaze_at;infant_voc;inf_smile)","(mother-speech;i_gaze_at)",0.364,13,12.614,0.0,0.2857142857142857,0.0,14
"(mo_smile;m_gaze_at)","(infant_voc)",0.109,121,83.905,0.5333333333333333,0.06666666666666667,0.0,15
"(m_gaze_at;i_gaze_away)","(mother-speech)",0.421,87,70.622,0.04878048780487805,0.9634146341463414,0.9878048780487805,82
"(infant_voc;inf_smile)","(m_gaze_at;mother-speech)",0.242,15,14.222,0.16,0.8,0.04,25
"(i_gaze_at;inf_smile)","(m_gaze_at)",0.69,50,303.079,0.02040816326530612,0.9387755102040817,0.16326530612244897,49
"(mother-speech;i_gaze_at)","(m_gaze_at;inf_smile)",0.253,85,115.001,0.0,0.037037037037037035,0.0,54
"(m_gaze_at)","(mo_smile;mother-speech;i_gaze_at)",0.165,369,310.035,0.0,0.0,0.0,5
"(mother-speech;i_gaze_at;infant_voc)","(m_gaze_at)",0.613,1,9.198,0.0,1.0,0.43243243243243246,37
"(mo_smile;m_gaze_at)","(mother-speech;i_gaze_at)",0.353,273,271.985,0.0,0.0,0.0,15
"(mother-speech;inf_smile)","(i_gaze_at)",0.563,20,126.816,0.01282051282051282,0.8333333333333334,0.0,78
"(m_gaze_at_object)","(i_gaze_away)",0.157,49,197.459,0.0136986301369863,0.3424657534246575,0.0273972602739726,73
"(mother-speech;i_gaze_at;infant_voc)","(mo_smile;m_gaze_at)",0.346,5,5.185,0.0,0.625,0.0,8
"(m_gaze_at;infant_voc;inf_smile)","(mo_smile)",0.469,7,16.263,0.09090909090909091,0.045454545454545456,0.0,22
"(mo_smile)","(i_gaze_at)",0.622,87,802.474,0.0,0.88,0.0,100
"(mo_smile)","(m_gaze_at_object)",0.229,193,296.39,1.0,0.0,1.0,100
"(mo_smile;mother-speech;inf_smile)","(m_gaze_at)",0.366,8,37.464,0.8571428571428571,1.0,0.0,14
"(mo_smile;i_gaze_at;infant_voc)","(mother-speech;inf_smile)",0.255,13,9.066,0.0,0.09090909090909091,0.0,11
"(mo_smile;inf_smile)","(m_gaze_at)",0.595,44,235.711,0.34615384615384615,0.46153846153846156,0.0,52
"(mo_smile)","(mother-speech)",0.408,499,526.709,0.01,0.76,0.0,100
"(m_gaze_away)","(i_gaze_away)",0.38,2,23.997,0.0,0.9074074074074074,0.0,54
"(mother-speech;i_gaze_at)","(inf_smile)",0.337,82,153.136,0.014705882352941176,0.27941176470588236,0.0,68
"(m_gaze_at;i_gaze_at)","(mo_smile;mother-speech)",0.23,337,291.288,0.0,0.0,0.0,18
"(mo_smile;m_gaze_at)","(i_gaze_at;inf_smile)",0.269,114,207.258,0.0,0.0,0.0,12
"(infant_voc;inf_smile;i_gaze_at_object)","(mo_smile)",0.703,2,1.403,0.0,0.38461538461538464,1.0,13
"(mother-speech)","(i_gaze_at)",0.589,75,485.096,0.0,0.48,0.0,100
"(infant_voc)","(m_gaze_at;i_gaze_at)",0.374,16,74.37,0.013333333333333334,0.9333333333333333,0.13333333333333333,75
"(mo_smile;m_gaze_at;infant_voc)","(i_gaze_at;inf_smile)",0.405,7,13.953,0.0,0.6,0.0,5
"(mo_smile;mother-speech;i_gaze_at)","(m_gaze_at)",0.66,24,122.809,0.0,0.7777777777777778,0.0,9
"(m_gaze_at;mother-speech;i_gaze_at;infant_voc)","(inf_smile)",0.47,4,4.614,0.0,0.6470588235294118,0.0,17
"(i_gaze_at)","(mo_smile;mother-speech)",0.194,447,390.96,0.0,0.25,0.0,24
"(m_gaze_at;mother-speech;infant_voc)","(mo_smile;inf_smile)",0.247,3,3.961,0.0,1.0,0.0,8
"(mo_smile;mother-speech)","(i_gaze_at;inf_smile)",0.317,45,90.121,0.0,0.4,0.0,15
"(mother-speech)","(mo_smile;i_gaze_at)",0.271,98,223.423,0.0,0.8269230769230769,0.0,52
"(infant_voc;inf_smile)","(mo_smile;mother-speech)",0.22,15,12.936,0.0,0.2222222222222222,0.0,9
"(mo_smile;i_gaze_at;infant_voc)","(m_gaze_at)",0.748,5,26.584,0.0,0.6153846153846154,0.0,26
"(mother-speech;i_gaze_at;inf_smile)","(mo_smile)",0.581,14,69.205,0.0,0.9545454545454546,0.0,22
"(mo_smile;i_gaze_at;inf_smile)","(m_gaze_at_object)",0.184,35,44.498,1.0,0.0,0.4375,16
"(mo_smile;inf_smile)","(mother-speech)",0.487,180,193.0,0.038461538461538464,0.0,0.0,52
"(mo_smile;i_gaze_at;infant_voc;inf_smile)","(mother-speech)",0.569,10,8.537,0.0,0.16666666666666666,0.0,6
"(mo_smile;inf_smile;i_gaze_away)","(m_gaze_at;mother-speech)",0.296,19,14.038,0.17647058823529413,0.0,0.0,17
"(m_gaze_at;inf_smile)","(mother-speech)",0.527,204,243.129,0.0,0.961038961038961,0.03896103896103896,77
"(mo_smile;m_gaze_at;i_gaze_at)","(mother-speech;inf_smile)",0.213,131,113.616,0.0,0.0,0.0,6
"(inf_smile;i_gaze_at_object)","(m_gaze_at_object)",0.665,11,38.596,0.0,0.9859154929577465,0.9859154929577465,71
"(mo_smile;infant_voc;inf_smile)","(mother-speech;i_gaze_at)",0.404,11,8.578,0.125,0.375,0.0,8
"(mo_smile;mother-speech;i_gaze_away;m_gaze_at_object)","(inf_smile)",0.565,1,1.567,0.0,1.0,0.16666666666666666,6
"(m_gaze_at_object)","(i_gaze_at_object)",0.325,78,409.279,0.1,0.01,0.16,100
"(i_gaze_at;inf_smile)","(mo_smile;mother-speech)",0.304,141,133.873,0.0,0.0,0.0,15
"(m_gaze_at;inf_smile;i_gaze_away)","(mo_smile)",0.555,5,29.001,0.023255813953488372,0.9302325581395349,0.27906976744186046,43
"(m_gaze_at;i_gaze_at;infant_voc)","(mother-speech;inf_smile)",0.188,19,13.817,0.0,0.46153846153846156,0.0,13
"(i_gaze_at;infant_voc;inf_smile)","(m_gaze_at)",0.765,3,25.128,0.0,0.7857142857142857,0.0,14
"(mo_smile;m_gaze_at;infant_voc)","(i_gaze_at)",0.777,2,26.786,0.0,0.9285714285714286,0.0,14
"(mo_smile;infant_voc)","(i_gaze_at;inf_smile)",0.321,10,16.75,0.0,0.43333333333333335,0.0,30
"(mo_smile;i_gaze_at;inf_smile)","(m_gaze_at;mother-speech)",0.388,93,93.934,0.0,0.0,0.0,13
"(i_gaze_at;inf_smile)","(infant_voc)",0.135,72,59.528,0.0,0.2857142857142857,0.09523809523809523,21
"(i_gaze_at)","(mo_smile;m_gaze_at)",0.323,293,649.705,0.0,0.0,0.0,24
"(m_gaze_at;inf_smile)","(mother-speech;i_gaze_at)",0.355,153,164.051,0.0,0.5272727272727272,0.0,55
"(mo_smile)","(m_gaze_at;mother-speech;i_gaze_at)",0.229,326,296.458,0.0,0.0,0.0,43
"(infant_voc;inf_smile)","(m_gaze_at;i_gaze_at)",0.455,5,26.732,0.0,0.7307692307692307,0.0,26
"(mo_smile;infant_voc;inf_smile)","(i_gaze_at)",0.638,2,13.538,0.18181818181818182,0.7272727272727273,0.0,11
"(m_gaze_at;mother-speech;i_gaze_at;infant_voc)","(mo_smile)",0.519,4,5.097,0.0,0.5263157894736842,0.10526315789473684,19
"(m_gaze_at)","(mother-speech;inf_smile)",0.163,364,305.799,0.0,0.7051282051282052,0.0,78
"(mo_smile;mother-speech;i_gaze_at;infant_voc)","(inf_smile)",0.46,1,3.376,0.0,1.0,0.0,6
"(m_gaze_at;i_gaze_at;infant_voc)","(inf_smile)",0.387,13,28.389,0.0,0.30434782608695654,0.0,46
"(m_gaze_away)","(inf_smile)",0.61,1,38.439,0.0,1.0,0.0,88
"(infant_voc;i_gaze_away)","(mother-speech;m_gaze_at_object)",0.192,5,2.515,0.0,1.0,0.8,5
